Language	ISO code	Datasets	Models
Lakota	lkt	4	1
Murrinh-Patha	mwf	4	1
Southern Sami	sma	4	2
Huli	hui	4	15
Mutu	tuc	4	15
Kela (Democratic Republic of Congo)	kel	4	1
Ossetian	oss	4	2
Waama	wwa	4	1
Dhivehi	div	4	2
Ngazidja Comorian	zdj	4	2
Kalaallisut	kal	4	1
Moro	mor	4	1
Gitonga	toh	4	1
Gungu	rub	4	1
West-Central Limba	lia	4	1
Talossan	tzl	4	1
Achi	acr	4	1
Plains Cree	crk	4	1
Highland Puebla Nahuatl	azz	4	2
Even	eve	4	1
Yucuna	ycn	3	1
Western Tlacolula Valley Zapotec	zab	3	1
Kakabai	kqf	3	1
Sa'a	apb	3	1
Takia	tbc	3	1
Quenya	qya	3	1
Highland Totonac	tos	3	1
Anindilyakwa	aoi	3	1
Yessan-Mayo	yss	3	1
Jamiltepec Mixtec	mxt	3	1
Teribe	tfr	3	1
Tonga (Nyasa)	tog	3	1
Usan	wnu	3	1
Western Highland Chatino	ctp	3	1
Ronga	rng	3	1
Ajyíninka Apurucayali	cpc	3	1
Baruya	byr	3	1
Guayabero	guo	3	1
Tandroy-Mahafaly Malagasy	tdx	3	15
Koyraboro Senni Songhai	ses	3	1
Binukid	bkd	3	1
Estado de México Otomi	ots	3	1
Coatecas Altas Zapotec	zca	3	1
Waris	wrs	3	1
Gourmanchéma	gux	3	1
Umanakaina	gdn	3	1
Ngangam	gng	3	1
Anmatyerre	amx	3	1
Afrihili	afh	3	1
Maasina Fulfulde	ffm	3	15
Orokaiva	okv	3	1
Kumyk	kum	3	15
Wiru	wiu	3	1
Nali	nss	3	1
Somba-Siawari	bmu	3	1
Mengen	mee	3	1
Torres Strait Creole	tcs	3	1
Sichuan Yi	iii	3	1
Kriol	rop	3	1
Mangseng	mbh	3	1
Tinputz	tpz	3	1
Kein	bmh	3	1
Burarra	bvr	3	1
Sierra de Juárez Zapotec	zaa	3	1
Southeastern Tepehuan	stp	3	1
Central Okinawan	ryu	3	1
Dhangu-Djangu	dhg	3	1
Gwahatike	dah	3	1
Southern Carrier	caf	3	1
Zigula	ziw	3	1
Sabaot	spy	3	1
Kurti	ktm	3	1
Guyanese Creole English	gyn	3	14
Thado Chin	tcz	3	1
Buamu	box	3	1
Juquila Mixe	mxq	3	1
Buhutu	bxh	3	1
Takwane	tke	3	1
Dobu	dob	3	1
Enga	enq	3	14
Tacana	tna	3	1
Koongo	kng	3	1
Bokobaru	bus	3	15
Yine	pib	3	1
Northern Emberá	emp	3	15
Kwoma	kmo	3	1
Chuave	cjv	3	1
East Kewa	kjs	3	1
Waffa	waj	3	1
Obo Manobo	obo	3	1
Cerma	cme	3	1
Southern Kisi	kss	3	1
Yareba	yrb	3	1
Biangai	big	3	9
Maranao	mrw	3	15
Sarangani Blaan	bps	3	1
Kyenele	kql	3	1
'Auhelawa	kud	3	1
Kube	kgf	3	1
Maiadomu	mzz	3	1
Korafe-Yegha	kpr	3	1
Ono	ons	3	1
Usarufa	usa	3	1
Gamo	gmv	3	1
Swedish Sign Language	swl	3	1
Piratapuyo	pir	3	1
Tereno	ter	3	1
Palantla Chinantec	cpa	3	1
Iatmul	ian	3	1
Mekeo	mek	3	1
Nyindrou	lid	3	1
San Miguel El Grande Mixtec	mig	3	1
Aguacateco	agu	3	1
Arapaho	arp	3	1
Makaa	mcp	3	1
Koronadal Blaan	bpr	3	1
Dawawa	dww	3	1
Pamplona Atta	att	3	1
Lenje	leh	3	1
Maung	mph	3	1
Siroi	ssd	3	1
Dangaléat	daa	3	1
Lamba	lam	3	1
Yakan	yka	3	1
Bukiyip	ape	3	15
Sakalava Malagasy	skg	3	1
Francisco León Zoque	zos	3	1
Kwamera	tnk	3	1
Mandinka	mnk	3	1
Tanimuca-Retuarã	tnc	3	1
Kuot	kto	3	1
Yau (Morobe Province)	yuw	3	1
Logudorese Sardinian	src	3	1
Matigsalug Manobo	mbt	3	15
Guanano	gvc	3	2
Ghayavi	bmk	3	1
Gwichʼin	gwi	3	1
Maiwa (Papua New Guinea)	mti	3	1
Wik-Mungkan	wim	3	1
Sinaugoro	snc	3	1
Kaluli	bco	3	1
Biak	bhw	3	1
Bo-Ung	mux	3	1
Diuxi-Tilantongo Mixtec	xtd	3	1
Meru	mer	3	1
Wichí Lhamtés Güisnay	mzh	3	1
Migabac	mpp	3	1
Arop-Lokep	apr	3	1
Ndamba	ndj	3	1
Are	mwc	3	1
Kanasi	soq	3	1
Bariai	bch	3	1
Zaiwa	atb	3	1
Huehuetla Tepehua	tee	3	1
Tewe	twx	3	1
Kaingang	kgp	3	1
Yatzachi Zapotec	zav	3	1
Maskelynes	klv	3	1
Algonquin	alq	3	1
Nsenga	nse	3	1
Chayuco Mixtec	mih	3	1
Chiquitano	cax	3	1
Imbongu	imo	3	1
Pinotepa Nacional Mixtec	mio	3	1
Ashéninka Pajonal	cjo	3	1
Misima-Panaeati	mpx	3	1
Mbunda	mck	3	1
Patep	ptp	3	1
Huaylla Wanca Quechua	qvw	3	1
Usila Chinantec	cuc	3	1
Kupsabiny	kpz	3	1
Lewo	lww	3	1
Masai	mas	3	15
Kirmanjki (individual language)	kiu	3	1
Paite Chin	pck	3	15
Tewa (USA)	tew	3	1
Yaouré	yre	3	1
West Kewa	kew	3	1
Temuan	tmw	3	1
Nukna	klt	3	1
Madak	mmx	3	1
Muyang	muy	3	1
Highland Popoluca	poi	3	1
Chuwabu	chw	3	1
Kwere	cwe	3	1
Southern Subanen	laa	3	1
San Juan Atzingo Popoloca	poe	3	1
Aneme Wake	aby	3	1
Dhao	nfa	3	1
Southeast Ambrym	tvk	3	1
Ignaciano	ign	3	1
Bambam	ptu	3	1
Western Arrarnta	are	3	1
Yalunka	yal	3	1
Siyin Chin	csy	3	1
Siane	snp	3	1
Molima	mox	3	1
Kunimaipa	kup	3	1
Anjam	boj	3	1
Réunion Creole French	rcf	3	15
Coyutla Totonac	toc	3	1
Ogea	eri	3	1
Sio	xsi	3	1
Qaqet	byx	3	1
Fasu	faa	3	1
Kalam	kmh	3	1
Yaweyuha	yby	3	1
Machiguenga	mcb	3	1
Agutaynen	agn	3	1
Okpe (Southwestern Edo)	oke	3	1
Yalálag Zapotec	zpu	3	1
Gumatj	gnn	3	1
Urat	urt	3	1
Potawatomi	pot	3	1
Jewish Babylonian Aramaic (ca. 200-1200 CE)	tmr	3	1
Mende (Papua New Guinea)	sim	3	1
Balangao	blw	3	1
Xicotepec De Juárez Totonac	too	3	1
Tsishingini	tsw	3	1
Copala Triqui	trc	3	1
Tagabawa	bgs	3	1
Peñoles Mixtec	mil	3	1
Kayabí	kyz	3	1
Agusan Manobo	msm	3	15
Bimoba	bim	3	15
Parauk	prk	3	15
Aruamu	msy	3	1
Sarangani Manobo	mbs	3	1
Chuj	cac	3	15
Chinook jargon	chn	3	1
Lukpa	dop	3	1
Cajonos Zapotec	zad	3	1
Zoogocho Zapotec	zpq	3	1
Ninzo	nin	3	1
Southern Puebla Mixtec	mit	3	1
Tuvalu	tvl	3	26
Caribbean Javanese	jvn	3	15
Nopala Chatino	cya	3	1
Sangir	sxn	3	15
Kuman (Papua New Guinea)	kue	3	1
North Bolivian Quechua	qul	3	1
Chiquihuitlán Mazatec	maq	3	2
Northern Tepehuan	ntp	3	1
Inabaknon	abx	3	1
Bugawac	buk	3	1
Cavineña	cav	3	1
Pele-Ata	ata	3	1
Ayautla Mazatec	vmy	3	1
Ocotlán Zapotec	zac	3	1
Sepik Iwam	iws	3	1
Sadri	sck	3	1
North Ndebele	nde	3	1
Guahibo	guh	3	15
Northwest Alaska Inupiatun	esk	3	1
Anuki	aui	3	1
Hote	hot	3	1
Keapara	khz	3	1
Haruai	tmd	3	1
Urim	uri	3	1
Sumerian	sux	3	1
Tuyuca	tue	3	1
Southern Pastaza Quechua	qup	3	15
Nyakyusa-Ngonde	nyy	3	1
Safeyoka	apz	3	1
Sindarin	sjn	3	1
Popti'	jac	3	15
Borei	gai	3	1
Tepeuxila Cuicatec	cux	3	1
Paumarí	pad	3	1
Querétaro Otomi	otq	3	15
Macushi	mbc	3	1
Ho	hoc	3	1
Hmong Daw	mww	3	1
Alekano	gah	3	1
Tuma-Irumu	iou	3	1
Rohingya	rhg	3	1
Dehu	dhv	3	1
Kayapó	txu	3	1
Djambarrpuyngu	djr	3	1
Urhobo	urh	3	1
Chácobo	cao	3	1
Old Aramaic (up to 700 BCE)	oar	3	1
Lowland Tarahumara	tac	3	1
Old Spanish	osp	3	1
Kwara'ae	kwf	3	1
Igede	ige	3	1
Aymara	aym	3	2
Waimaha	bao	3	1
Teutila Cuicatec	cut	3	1
Kara (Papua New Guinea)	leu	3	1
Tagal Murut	mvv	3	1
Epena	sja	3	16
Mankanya	knf	3	1
Tepetotutla Chinantec	cnt	3	1
Waima	rro	3	1
Mwani	wmw	3	1
Northern Kankanay	xnn	3	1
Mokole	mkl	3	1
Busa	bqp	3	1
Limos Kalinga	kmk	3	1
Tungag	lcm	3	1
Uripiv-Wala-Rano-Atchin	upv	3	1
Karbi	mjw	3	1
Maca	mca	3	1
Uab Meto	aoz	3	1
Dano	aso	3	1
Ngulu	ngp	3	1
Pogolo	poy	3	1
Láadan	ldn	3	1
Eastern Arrernte	aer	3	1
Saint Lucian Creole French	acf	3	15
Wipi	gdr	3	1
Malinaltepec Me'phaa	tcf	3	1
Yombe	yom	3	1
Abau	aau	3	1
Guajajára	gub	3	15
Northern Oaxaca Nahuatl	nhy	3	1
Parecís	pab	3	1
Yaminahua	yaa	3	1
Maxakalí	mbl	3	1
Buglere	sab	3	1
Hamer-Banna	amf	3	1
Akukem	spm	3	1
Kyaka	kyc	3	1
Brithenig	bzt	3	1
Dungan	dng	3	1
Khana	ogo	3	1
Iwal	kbm	3	1
Gokana	gkn	3	1
Siksika	bla	3	1
Minaveha	mvn	3	1
Tezoatlán Mixtec	mxb	3	1
Kaiwá	kgk	3	1
Tenharim	pah	3	1
Fanamaket	bjp	3	1
Northeastern Thai	tts	3	1
Central Bontok	lbk	3	1
Chechen	che	3	2
Southeastern Puebla Nahuatl	npl	3	1
Iamalele	yml	3	1
Texmelucan Zapotec	zpz	3	1
Naro	nhr	3	1
Chichicapan Zapotec	zpv	3	1
Agarabi	agd	3	1
Ipili	ipi	3	1
Suau	swp	3	1
Rakhine	rki	3	14
Mian	mpt	3	1
Daga	dgz	3	1
Ozumacín Chinantec	chz	3	1
Amganad Ifugao	ifa	3	1
Timugon Murut	tih	3	1
Magdalena Peñasco Mixtec	xtm	3	1
Mauwake	mhl	3	1
Southern Nambikuára	nab	3	1
Olo	ong	3	1
Mambwe-Lungu	mgr	3	1
Pitjantjatjara	pjt	3	1
Central Tarahumara	tar	3	1
Chipaya	cap	3	1
Galela	gbi	3	1
Aklanon	akl	3	1
Upper Necaxa Totonac	tku	3	1
Tlachichilco Tepehua	tpt	3	1
Mape	mlh	3	1
Mbula	mna	3	1
Beaver	bea	3	1
Tsikimba	kdl	3	1
Carpathian Romani	rmc	3	15
Yopno	yut	3	1
Border Kuna	kvn	3	1
Amele	aey	3	1
Mbuko	mqb	3	1
Ama (Papua New Guinea)	amm	3	1
Old Frisian	ofs	3	1
Zapotec	zap	3	14
Melpa	med	3	1
Umbu-Ungu	ubu	3	15
Cacua	cbv	3	2
Gheg Albanian	aln	3	1
Noone	nhu	3	1
Kisar	kje	3	1
Kosarek Yale	kkl	3	1
Takuu	nho	3	1
Tifal	tif	3	1
Nogai	nog	3	15
Mountain Koiali	kpx	3	1
Palikúr	plu	3	1
Edolo	etr	3	1
Izii	izz	3	15
Alyawarr	aly	3	1
Bine	bon	3	1
Nyamwanga	mwn	3	1
Karkar-Yuri	yuj	3	1
Amanab	amn	3	1
Western Kanjobal	knj	3	15
Samberigi	ssx	3	1
Timbe	tim	3	1
Chiga	cgg	3	1
Ata Manobo	atd	3	1
Carapana	cbc	3	1
Girawa	bbr	3	1
Mansaka	msk	3	1
Borong	ksr	3	1
Central Tunebo	tuf	3	1
Tucano	tuo	3	1
Nakanai	nak	3	1
Ika	ikk	3	1
Marik	dad	3	1
Kouya	kyf	3	1
Saliba	sbe	3	1
Barai	bbb	3	1
Tataltepec Chatino	cta	3	1
Chortí	caa	3	1
Uri	uvh	3	1
Sea Island Creole English	gul	3	1
Lealao Chinantec	cle	3	1
Laari	ldi	3	1
Suena	sue	3	1
Kamula	xla	3	1
Ucayali-Yurúa Ashéninka	cpb	3	1
Rikbaktsa	rkb	3	1
Spanish Sign Language	ssp	3	3
Mbukushu	mhw	3	1
Helong	heg	3	1
Songe	sop	3	1
Manam	mva	3	1
Kaninuwa	wat	3	1
Garhwali	gbm	3	15
Cubeo	cub	3	1
Mopán Maya	mop	3	1
Ibanag	ibg	3	1
Yongbei Zhuang	zyb	3	1
Dawro	dwr	3	15
Hdi	xed	3	1
Minica Huitoto	hto	3	1
Southern Conchucos Ancash Quechua	qxo	3	1
Nimoa	nmw	3	1
Kankanaey	kne	3	1
Kutu	kdc	3	1
Uare	ksj	3	1
Faiwol	fai	3	1
Carrier	crx	3	1
Kriang	ngt	3	1
Kasua	khs	3	1
Chumburung	ncu	3	1
Kadiwéu	kbc	3	1
Muyuw	myw	3	1
Lachixío Zapotec	zpl	3	1
Hopi	hop	3	1
Mixtepec Zapotec	zpm	3	1
Karajá	kpj	3	1
Nande	nnb	3	15
Awara	awx	3	1
Nadëb	mbj	3	1
Tatuyo	tav	3	2
Manchu	mnc	3	1
Jalapa De Díaz Mazatec	maj	3	1
Plautdietsch	pdt	3	1
Bumbita Arapesh	aon	3	1
Nunggubuyu	nuy	3	1
Sulka	sua	3	1
Mangga Buang	mmo	3	1
Mussau-Emira	emi	3	1
Label	lbb	3	1
Eastern Bolivian Guaraní	gui	3	15
San Pedro Amuzgos Amuzgo	azg	3	1
San Martín Quechua	qvs	3	1
Lomwe	ngl	3	1
Tol	jic	3	1
Ambulas	abt	3	15
Paicî	pri	3	1
Wantoat	wnc	3	1
Yosondúa Mixtec	mpm	3	1
Northern Paiute	pao	3	1
Nkonya	nko	3	1
Tlahuitoltepec Mixe	mxp	3	1
Sirionó	srq	3	1
San Mateo Del Mar Huave	huv	3	1
Awiyaana	auy	3	1
Gofa	gof	3	15
Batak Simalungun	bts	3	15
Balantak	blz	3	1
Chinese Pidgin English	cpi	3	1
Zia	zia	3	1
Uma	ppk	3	15
Sursurunga	sgz	3	1
Cabécar	cjp	3	1
Kosena	kze	3	1
Telefol	tlf	3	1
Angor	agg	3	1
Siriano	sri	3	1
Cuiba	cui	3	1
Kandawo	gam	3	1
Tiruray	tiy	3	1
Ramoaaina	rai	3	1
Garrwa	wrk	3	1
Chagatai	chg	3	1
Nabak	naf	3	1
Bedjond	bjv	3	1
Sabu	hvn	3	15
Ngindo	nnq	3	1
Abua	abn	3	1
Angaataha	agm	3	1
Tampulma	tpm	3	1
Golin	gvf	3	1
Eastern Bontok	ebk	3	1
Nggem	nbq	3	1
Kobon	kpw	3	1
Bakairí	bkq	3	1
Fore	for	3	1
Ocotepec Mixtec	mie	3	1
Choapan Zapotec	zpc	3	1
Western Apache	apw	3	1
Cornish	cor	3	2
Supyire Senoufo	spp	3	15
Bargam	mlp	3	1
Tabasco Chontal	chf	3	1
Ma'di	mhi	3	1
Kurukh	kru	3	1
Folopa	ppo	3	1
Kalenjin	kln	3	1
Bunama	bdd	3	1
Selepet	spl	3	1
Ndau	ndc	3	1
Ikwere	ikw	3	1
Woun Meu	noa	3	15
Phoenician	phn	3	1
Amatlán Zapotec	zpo	3	1
Baga Sitemu	bsp	3	1
Kuku-Yalanji	gvn	3	1
Guhu-Samane	ghs	3	1
Odoodee	kkc	3	1
Sochiapam Chinantec	cso	3	1
Gumuz	guk	3	1
Numanggang	nop	3	1
Tawala	tbo	3	1
Muinane	bmr	3	1
Huambisa	hub	3	1
Mochi	old	3	1
Hixkaryána	hix	3	1
Eastern Highland Otomi	otm	3	1
Galibi Carib	car	3	1
Ese	mcq	3	1
Yele	yle	3	1
Seimat	ssg	3	1
Macuna	myy	3	1
Apinayé	apn	3	1
Ambai	amk	3	1
Wedau	wed	3	1
Bwanabwana	tte	3	1
Rincón Zapotec	zar	3	1
El Nayar Cora	crn	3	1
San Juan Colorado Mixtec	mjc	3	1
Central Cagayan Agta	agt	3	1
Au	avt	3	1
Dogrib	dgr	3	1
Lacandon	lac	3	1
Tahaggart Tamahaq	thv	3	1
Northern Ndebele isiNdebele	nd	3	3
Ubir	ubr	3	1
Luguru	ruf	3	1
Cofán	con	3	1
Dutton World Speedwords	dws	3	1
Lushootseed	lut	3	1
Tangoa	tgp	3	1
Mapos Buang	bzh	3	1
Konkomba	xon	3	1
Bola	bnp	3	1
Walmajarri	wmt	3	1
Luang	lex	3	1
Michoacán Nahuatl	ncl	3	1
Capanahua	kaq	3	1
Yabem	jae	3	1
Gen	gej	3	1
Atatláhuca Mixtec	mib	3	1
Casiguran Dumagat Agta	dgc	3	1
Judeo-Tat	jdt	3	1
San Jerónimo Tecóatl Mazatec	maa	3	1
Nii	nii	3	1
Bimin	bhl	3	1
Hanga Hundi	wos	3	1
Ewage-Notu	nou	3	1
Tektiteko	ttc	3	1
Paranan	prf	3	1
Cayuga	cay	3	1
Denya	anv	3	1
Alune	alp	3	1
Taupota	tpa	3	1
Kire	geb	3	1
Antankarana Malagasy	xmv	3	1
Nyaneka	nyk	3	6
Enxet	enx	3	1
Kwanga	kwj	3	1
Ozolotepec Zapotec	zao	3	1
Lote	uvl	3	1
Iduna	viv	3	1
Tabo	knv	3	1
Limbu	lif	3	1
Nek	nif	3	1
Rawa	rwo	3	15
Saniyo-Hiyewe	sny	3	1
Inga	inb	3	15
Quioquitani-Quierí Zapotec	ztq	3	1
Yawa	yva	3	1
Silacayoapan Mixtec	mks	3	1
Isthmus Mixe	mir	3	1
Ankave	aak	3	1
Kafa	kbr	3	1
Paama	pma	3	1
Oksapmin	opm	3	1
Batad Ifugao	ifb	3	1
Kala Lagaw Ya	mwp	3	1
Piapoco	pio	3	1
Iyo	nca	3	1
Kandas	kqw	3	1
Morokodo	mgc	3	1
Kombio	xbi	3	1
Subiya	sbs	3	1
Tboli	tbl	3	1
Yongkom	yon	3	1
Sudest	tgo	3	1
Patpatar	gfk	3	1
Adzera	adz	3	1
Koti	eko	3	1
Herero Otjiherero	hz	3	4
Salt-Yui	sll	3	1
Jewish Palestinian Aramaic	jpa	3	1
Bolinao	smk	3	1
Wapishana	wap	3	1
Comaltepec Chinantec	cco	3	1
Weri	wer	3	1
Urubú-Kaapor	urb	3	1
North Tairora	tbg	3	1
Cameroon Pidgin	wes	3	1
Northern Pastaza Quichua	qvz	3	15
Nobonob	gaw	3	1
Waskia	wsk	3	1
Bikol	bik	3	15
Binandere	bhg	3	1
Doromu-Koki	kqc	3	1
Ömie	aom	3	1
Central Puebla Nahuatl	ncx	3	1
Merey	meq	3	1
Wuvulu-Aua	wuv	3	1
Manyawa	mny	3	1
Sateré-Mawé	mav	3	1
Komba	kpf	3	1
Kupang Malay	mkn	3	15
Lalana Chinantec	cnl	3	1
Mwaghavul	sur	2	1
Mag-antsi Ayta	sgb	2	1
Central Melanau	mel	2	14
Bissa	bib	2	1
Alangan	alj	2	1
Southwest Gbaya	gso	2	1
Konni	kma	2	1
Moose Cree	crm	2	1
Nilamba	nim	2	1
Tuwali Ifugao	ifk	2	1
Lolo	llb	2	1
Sar	mwm	2	1
Dii	dur	2	1
Bawm Chin	bgr	2	1
Da'a Kaili	kzf	2	1
Manikion	mnx	2	1
Apatani	apt	2	1
Muna	mnb	2	7
Western Penan	pne	2	1
Konyak Naga	nbe	2	1
Kambera	xbr	2	1
Tepo Krumen	ted	2	1
Ngalum	szb	2	1
Anal	anm	2	1
Mentawai	mwv	2	1
Achang	acn	2	1
Sebat Bet Gurage	sgw	2	1
Liberian English	lir	2	1
Ngambay	sba	2	1
Tetela	tll	2	28
Yamba	yam	2	1
Selee	snw	2	1
Southern Nuni	nnw	2	1
Berom	bom	2	1
Coatzospan Mixtec	miz	2	1
Guro	goa	2	1
Doyayo	dow	2	1
Manggarai	mqy	2	15
Batak Dairi	btd	2	1
Gulay	gvl	2	15
Datooga	tcc	2	1
Konai	kxw	2	1
Diriku	diu	2	1
Mewari	mtr	2	14
Desano	des	2	1
Baba Malay	mbf	2	1
Nalca	nlc	2	1
Southern Kalinga	ksc	2	1
Lele (Chad)	lln	2	1
Hawai'i Creole English	hwc	2	2
Gikyode	acd	2	1
Tenango Otomi	otn	2	1
Amarasi	aaz	2	1
Santo Domingo Albarradas Zapotec	zas	2	1
Marba	mpg	2	1
Chang Naga	nbc	2	1
Eastern Highland Chatino	cly	2	1
Pilagá	plg	2	1
Zou	zom	2	1
Lambya	lai	2	1
Southern Samo	sbd	2	1
Church Slavic	chu	2	3
Keyagana	kyg	2	1
Nung (Viet Nam)	nut	2	14
Banggai	bgz	2	15
Djimini Senoufo	dyi	2	1
North Marquesan	mrq	2	1
Nafaanra	nfr	2	1
Kok Borok	trp	2	15
Bwaidoka	bwd	2	1
Wichí Lhamtés Vejoz	wlv	2	1
Trinitario	trn	2	1
Loma (Liberia)	lom	2	1
Saluan	loe	2	1
Kutep	kub	2	1
Sinte Romani	rmo	2	1
Kalanga	kck	2	1
Sylheti	syl	2	15
Abui	abz	2	1
Makhuwa-Shirima	vmk	2	1
Jukun Takum	jbu	2	1
Thangal Naga	nki	2	1
Jambi Malay	jax	2	14
Ruund	rnd	2	10
Cotabato Manobo	mta	2	1
Mono (USA)	mnr	2	1
Western Subanon	suc	2	1
Zulgo-Gemzek	gnd	2	1
Caluyanun	clu	2	1
Sherpa	xsr	2	1
Mayo	mfy	2	1
Ila	ilb	2	1
Musey	mse	2	1
Tabassaran	tab	2	15
Nawuri	naw	2	1
Cameroon Mambila	mcu	2	1
Eastern Oromo	hae	2	1
Kom (India)	kmm	2	1
Mada (Nigeria)	mda	2	1
Sambal	xsb	2	1
Wè Southern	gxx	2	1
Northern Ngbandi	ngb	2	1
Pemon	aoc	2	1
South Giziga	giz	2	1
Plapo Krumen	ktj	2	1
Fipa	fip	2	14
Lamkang	lmk	2	1
Buhid	bku	2	1
Bauzi	bvz	2	1
Gude	gde	2	1
Western Highland Purepecha	pua	2	1
Zotung Chin	czt	2	1
Njebi	nzb	2	1
Avokaya	avu	2	1
Erromintxela	emx	2	1
Liberia Kpelle	xpe	2	1
Sangtam Naga	nsa	2	1
Abé	aba	2	1
Mbay	myb	2	1
Mwali Comorian	wlc	2	1
South Fali	fal	2	1
Etchemin	etc	2	1
Severn Ojibwa	ojs	2	1
Termanu	twu	2	15
Enlhet	enl	2	1
Mangareva	mrv	2	1
Angal Heneng	akh	2	1
Iraqw	irk	2	1
Nyaturu	rim	2	1
Kendayan	knx	2	1
Huarijio	var	2	1
Ladakhi	lbj	2	1
Western Kayah	kyu	2	1
Lama (Togo)	las	2	1
Tangkhul Naga (India)	nmf	2	1
Gbaya (Central African Republic)	gba	2	1
Lule Sami	smj	2	2
Una	mtg	2	1
Pali	pli	2	1
Jur Modo	bex	2	1
Wichí Lhamtés Nocten	mtp	2	1
Hanga	hag	2	1
Wallisian	wls	2	9
Kuranko	knk	2	1
Northwest Gbaya	gya	2	1
Nocte Naga	njb	2	1
Alladian	ald	2	1
Mikasuki	mik	2	1
Southern Rengma Naga	nre	2	1
Yuracare	yuz	2	1
Mari (Russia)	chm	2	15
Bana	bcw	2	1
Haya	hay	2	1
Sanumá	xsu	2	1
Toraja-Sa'dan	sda	2	15
Deg	mzw	2	1
Arhuaco	arh	2	1
Zeme Naga	nzm	2	1
Lega-Shabunda	lea	2	1
Nyabwa	nwb	2	1
Attié	ati	2	1
Phende	pem	2	1
Shughni	sgh	2	1
Ekajuk	eka	2	1
Baniwa	bwi	2	1
Bekwarra	bkv	2	1
Wandala	mfi	2	1
Mofu-Gudur	mif	2	1
Mün Chin	mwq	2	1
Santa María Quiegolani Zapotec	zpi	2	1
San Martín Itunyoso Triqui	trq	2	1
Iu Mien	ium	2	15
Sumi Naga	nsm	2	1
Fe'fe'	fmp	2	1
North Alaskan Inupiatun	esi	2	1
Ejagham	etu	2	1
Adioukrou	adj	2	1
Kumam	kdi	2	1
Tembé	tqb	2	1
Paasaal	sig	2	1
Tsakhur	tkr	2	1
Itawit	itv	2	1
Tabaa Zapotec	zat	2	1
San Pedro Quiatoni Zapotec	zpf	2	1
Rotuman	rtm	2	1
Meyah	mej	2	1
Nomaande	lem	2	1
Rukai	dru	2	1
Maram Naga	nma	2	1
Ngiemboon	nnh	2	1
Tii	txq	2	1
Bima	bhp	2	1
Karakhanid	xqa	2	1
Tsimané	cas	2	1
Mano	mev	2	1
Alacatlatzala Mixtec	mim	2	1
Logo	log	2	1
Kaba	ksp	2	1
Nhengatu	yrl	2	3
Louisiana Creole	lou	2	1
Lachiguiri Zapotec	zpa	2	1
Southern Bobo Madaré	bwq	2	1
Koreguaje	coe	2	1
Mising	mrg	2	1
Central Malay	pse	2	8
Tawallammat Tamajaq	ttq	2	1
Vagla	vag	2	1
Galo	adl	2	1
Sierra Negra Nahuatl	nsu	2	1
Siwu	akp	2	1
Santa Teresa Cora	cok	2	1
Luba-Katanga	lub	2	1
Dargwa	dar	2	5
Aimol	aim	2	1
Kuo	xuo	2	1
Kalagan	kqe	2	1
Central Yupik	esu	2	1
Hehe	heh	2	1
Psikye	kvj	2	1
Sri Lankan Creole Malay	sci	2	2
Northern Dagara	dgi	2	1
Kagulu	kki	2	1
Phimbi	phm	2	1
Buli (Ghana)	bwu	2	1
Southwestern Tlaxiaco Mixtec	meh	2	1
Ivbie North-Okpela-Arhe	atg	2	1
Tumulung Sisaala	sil	2	1
To'abaita	mlu	2	1
Achagua	aca	2	1
Nimadi	noe	2	14
Aekyom	awi	2	1
Sekpele	lip	2	1
Ndogo	ndz	2	1
Kuria	kuj	2	1
Sa	sax	2	3
Talinga-Bwisi	tlj	2	1
Ayoreo	ayo	2	1
Kedah Malay	meo	2	14
Nivaclé	cag	2	1
Basa-Gumna	bsl	2	1
Ngombe (Democratic Republic of Congo)	ngc	2	1
Bassa	bsq	2	1
Chiripá	nhd	2	1
Caló	rmq	2	1
Kambaata	ktb	2	1
Southern Birifor	biv	2	1
Botolan Sambal	sbl	2	1
Napu	npy	2	1
Mabaan	mfz	2	1
South Ucayali Ashéninka	cpy	2	1
Miyobe	soy	2	1
Ket	ket	2	1
Ilianen Manobo	mbi	2	1
Duri	mvp	2	1
Wè Northern	wob	2	1
Maring Naga	nng	2	1
Southeastern Dinka	dks	2	1
Pisaflores Tepehua	tpp	2	1
Nauru	nau	2	1
Rongmei Naga	nbu	2	1
Lelemi	lef	2	1
Rigwe	iri	2	1
Rungus	drg	2	1
Eastern Bru	bru	2	15
Northern Khmer	kxm	2	1
Chadian Arabic	shu	2	1
Ndali	ndh	2	1
Pere	pfe	2	1
Takestani	tks	2	14
Songomeno	soe	2	1
Batak Angkola	akb	2	15
Sankaran Maninka	msc	2	1
Eastern Krahn	kqo	2	1
Ngiti	niy	2	1
Chothe Naga	nct	2	1
Koorete	kqy	2	1
Samba Leko	ndi	2	1
Adele	ade	2	1
Mafa	maf	2	1
Isoko	iso	2	29
Nandi	niq	2	15
Northern Haida	hdn	2	1
Moskona	mtj	2	1
Southern Rincon Zapotec	zsr	2	1
Yareni Zapotec	zae	2	1
Mocoví	moc	2	1
Dibabawon Manobo	mbd	2	1
Pochuri Naga	npo	2	1
Brazilian Sign Language	bzs	2	14
Iyo'wujwa Chorote	crq	2	1
Northern Rengma Naga	nnl	2	1
Mündü	muh	2	1
Tai	taw	2	2
Dombe	dov	2	14
Allar	all	2	5
Cogui	kog	2	2
Izon	ijc	2	1
Havu	hav	2	1
Dido	ddo	2	1
