Language	ISO code	Datasets	Models
Manipuri	mni	26	65
Swati SiSwati	ss	26	87
Kashmiri कश्मीरी	ks	26	71
Kikuyu Gĩkũyũ	ki	26	120
Tumbuka	tum	26	110
Pampanga	pam	26	19
Western Panjabi	pnb	26	15
Wu Chinese	wuu	25	4
Piemontese	pms	24	15
Scots	sco	24	23
Luo (Kenya and Tanzania)	luo	24	57
Corsican corsu	co	24	82
Kongo Kikongo	kg	24	74
Dzongkha རྫོང་ཁ	dz	24	74
Bhojpuri	bho	24	59
Interlingue Interlingue	ie	24	5
Goan Konkani	gom	23	28
Tuvinian	tyv	23	24
Hawaiian	haw	23	144
Kashubian	csb	23	3
Kabiyè	kbp	23	58
Neapolitan	nap	23	4
Western Mari	mrj	23	18
Shan	shn	23	58
Swahili (individual language)	swh	23	44
Lower Sorbian	dsb	23	5
Manx Gaelg	gv	22	36
Portuguese	por	22	8
Newari	new	22	29
Kamba (Kenya)	kam	22	48
Madurese	mad	22	15
Kabardian Адыгэбзэ КIахэ	kbd	21	29
Aymara aymar aru	ay	21	40
Moksha	mdf	21	17
Karachay-Balkar	krc	21	21
Rusyn	rue	21	4
Bihari भोजपुरी	bh	21	18
Sango yângâ tî sängö	sg	21	86
Tamil	tam	21	8
Min Nan Chinese	nan	21	4
Russia Buriat	bxr	21	8
Bavarian	bar	21	17
Fijian Vakaviti	fj	21	84
Chavacano	cbk	21	17
Hindi	hin	21	6
Umbundu	umb	21	53
Old English (ca. 450-1100)	ang	21	18
Mingrelian	xmf	21	4
Hausa	hau	21	30
Mirandese	mwl	20	4
Mossi	mos	20	75
Northern Frisian	frr	20	2
Filipino	fil	20	56
Moroccan Arabic	ary	20	52
Bemba (Zambia)	bem	20	56
Venda Tshivenḓa	ve	20	28
Vlaams	vls	20	5
Dyula	dyu	20	59
Russian	rus	20	15
Fula Fulfulde	ff	20	61
Awadhi	awa	20	57
Udmurt удмурт кыл	udm	20	17
French	fra	20	9
Mazanderani	mzn	20	4
Xhosa	xho	19	11
Spanish	spa	19	8
Central Bikol	bcl	19	17
Central Atlas Tamazight	tzm	19	44
Amharic	amh	19	14
Afrikaans	afr	19	7
Avaric авар мацӀ	av	19	45
Standard Moroccan Tamazight	zgh	19	4
Tetum	tet	19	17
Ayacucho Quechua	quy	19	56
Bishnupriya	bpy	19	9
Kölsch	ksh	19	3
Kabuverdianu	kea	19	54
Bengali	ben	19	5
Hakka Chinese	hak	19	3
Cherokee	chr	19	17
Zulu	zul	18	30
Northern Sami Davvisámegiella	se	18	30
Yoruba	yor	18	34
Dimli (individual language)	diq	18	5
Japanese	jpn	18	9
Komi коми кыв	kv	18	30
Kara-Kalpak	kaa	18	31
Italian	ita	18	8
Veps	vep	18	3
Tonga faka Tonga	to	18	30
Kinyarwanda	kin	18	11
Korean	kor	18	6
Kalmyk	xal	18	20
Malayalam	mal	18	5
Literary Chinese 文言	lzh	17	17
Ladino	lad	17	4
Urdu	urd	17	6
Odia	ory	17	46
Hakha Chin	cnh	17	21
Kannada	kan	17	6
Jamaican Creole English	jam	17	17
Iranian Persian	pes	17	41
Komi-Permyak	koi	17	17
Extremaduran	ext	17	3
Navajo Diné bizaad	nv	17	20
Bislama Bislama	bi	17	42
Gujarati	guj	17	5
Romanian	ron	17	6
Lezghian	lez	17	3
Lingua Franca Nova	lfn	16	3
Dutch	nld	16	6
Panjabi	pan	16	5
German	deu	16	7
Inuktitut ᐃᓄᒃᑎᑐᑦ	iu	16	18
Wayuu	guc	16	17
Nepali (individual language)	npi	16	45
Gan Chinese	gan	16	2
Thai	tha	16	5
Picard	pcd	16	3
North Azerbaijani	azj	16	46
Kalaallisut kalaallisut	kl	16	21
Tsonga	tso	16	1
Igbo	ibo	16	30
Mandarin Chinese	cmn	16	4
Vietnamese	vie	16	8
Zeeuws	zea	15	4
Tetun Dili	tdt	15	3
Chhattisgarhi	hne	15	57
Lushai	lus	15	68
Gorontalo	gor	15	15
Livvi	olo	15	2
Nyanja	nya	15	9
Novial	nov	15	1
Gilaki	glk	15	3
Swiss German	gsw	15	23
Gagauz	gag	15	17
Arpitan	frp	15	16
Gothic	got	15	3
Dotyali	dty	15	2
Dari	prs	15	43
