,Class,language,data,code,model,tool
267,3,Welsh,0,GitHub,0,GitHub
268,3,Welsh,GitHub,GitHub,0,0
269,3,Welsh,Other,0,0,0
270,3,Welsh,Other,0,0,0
271,3,Welsh,Other,0,0,0
272,3,Tamil,0,GitHub,0,Other
273,3,Tamil,Zenodo,0,Hugging Face,0
274,3,Tamil,GitHub,GitHub,0,0
275,3,Tamil,GitHub,0,0,0
276,3,Tamil,GitHub,0,0,0
277,3,Tamil,0,GitHub,0,0
278,4,Azebijani,0,GitHub,0,0
279,4,Basque,Other,0,0,0
280,4,Basque,0,GitHub,0,0
281,4,Basque,0,0,0,0
282,4,Basque,GitHub,0,0,0
283,4,Basque,0,GitLab,0,0
284,4,catalan,GitHub,0,0,0
285,4,catalan,0,0,0,0
286,4,catalan,Hugging Face,0,0,0
287,4,catalan,Zenodo,0,0,0
288,4,catalan,0,0,0,0
289,4,catalan,GitHub,0,0,0
290,4,catalan,Other,0,0,0
291,4,catalan,Other,0,0,0
292,4,catalan,0,GitHub,0,0
293,4,catalan,0,GitHub,0,0
294,4,catalan,0,0,0,0
295,4,catalan,0,GitHub,0,0
296,4,Dutch,Other,0,0,0
297,4,Dutch,GitHub,0,0,0
298,4,Dutch,GitHub,0,0,0
299,4,Dutch,Other,GitHub,0,0
300,4,Dutch,GitHub,0,0,0
301,4,Finnish,GitHub,0,0,GitHub
302,4,Finnish,Other,0,0,0
303,4,Finnish,GitHub,GitHub,0,0
304,4,Finnish,Zenodo,0,0,0
305,4,Finnish,0,GitHub,0,0
306,4,hungarian,GitHub,0,0,0
307,4,hungarian,GitHub,0,0,0
308,4,hungarian,GitHub,0,0,0
309,4,hungarian,GitHub,0,0,0
310,4,hungarian,Other,0,0,0
311,4,Indonesian,GitHub,0,0,0
312,4,Indonesian,0,GitHub,0,0
313,4,Indonesian,GitHub,0,0,0
314,4,Indonesian,GitHub,0,0,0
315,4,Indonesian,GitHub,0,0,0
316,4,italian,GitHub,0,0,0
317,4,italian,GitHub,0,0,0
318,4,italian,0,GitHub,0,0
319,4,italian,0,GitHub,0,0
320,4,italian,GitHub,0,0,0
321,4,korean,GitHub,0,0,0
322,4,korean,GitHub,0,0,0
323,4,korean,GitHub,GitHub,0,0
324,4,korean,GitHub,0,0,0
325,4,korean,Other,GitHub,0,0
326,4,korean,GitHub,0,0,0
327,4,korean,0,0,0,0
328,4,korean,Google Drive,GitHub,0,0
329,4,korean,0,0,0,0
330,4,Vietnamese,Other,0,0,0
331,4,Vietnamese,Other,0,0,0
332,4,Vietnamese,0,GitHub,Other,0
333,4,Serbian,GitHub,0,0,Other
334,4,Serbian,GitHub,0,0,0
335,4,Serbian,GitHub,0,0,0
336,4,Serbian,0,GitHub,0,Other
337,4,Swedish,0,GitHub,0,0
338,4,Swedish,GitHub,GitHub,0,0
339,4,Swedish,0,GitHub,0,Other
340,4,Swedish,Other,0,0,0
341,4,Swedish,GitHub,0,0,0
342,4,Swedish,GitHub,GitHub,Hugging Face,0
343,4,Swedish,GitHub,GitHub,0,0
344,4,Russian,GitHub,0,0,0
345,4,Russian,GitHub,GitHub,0,0
346,4,Russian,GitHub,0,0,0
347,4,Russian,GitHub,0,0,0
348,4,Russian,GitHub,GitHub,0,0
349,4,Romanian,0,GitHub,0,GitHub
350,4,Romanian,0,GitHub,Hugging Face,0
351,5,Arabic,Other,0,Other,0
352,5,Arabic,0,GitHub,GitHub,0
353,5,Arabic,0,GitHub,0,0
354,5,Arabic,GitHub,0,GitHub,0
355,5,Arabic,0,GitHub,0,0
356,5,Arabic,0,GitHub,0,0
357,5,Arabic,GitHub,0,0,0
358,5,Arabic,Other,0,0,0
359,5,Arabic,GitHub,0,0,0
360,5,Arabic,0,GitHub,0,0
361,5,Arabic,Other,0,0,0
362,5,English,Other,Other,0,0
363,5,English,GitHub,0,0,0
364,5,English,GitHub,0,0,0
365,5,English,Other,0,0,0
366,5,English,Other,0,0,0
